,Homo,Pan,Musa,Zea,Ficus,Arachis,Citrus,Cannabis,Corchorus,Population
0,93.0,93.0,3,7,1,15,960,0,0,Chimpanzee
1,0.0,138.0,73,22,2,78,1207,8428,106990,Chimpanzee
2,73.0,1332.0,491,8,17,187,1704,9547,234014,Chimpanzee
3,91.0,1471.0,2,6,51,425,2926,11276,146027,Chimpanzee
4,100.0,140.0,0,1,0,8,1061,9530,0,Chimpanzee
5,83.0,1226.0,0,40,4,66,2591,9819,91079,Chimpanzee
6,126.0,835.0,4,2,24,134,1333,7412,0,Chimpanzee
7,139.0,101.0,23,19,0,38,745,6677,0,Chimpanzee
8,474.0,6837.0,0,54,20629,469,7711,35236,239780,Chimpanzee
9,149.0,86.0,90,52,0,151,1381,7907,234859,Chimpanzee
11,195.0,117.0,0,32,0,211,2362,8071,116776,Chimpanzee
12,274.0,115.0,29,106,19,85,1439,6057,152932,Chimpanzee
13,157.0,4873.0,0,44,595,288,1980,27867,277136,Chimpanzee
14,0.0,123.0,0,3,0,28,721,0,0,Chimpanzee
15,0.0,2076.0,839,17,11051,300,4513,30396,216495,Chimpanzee
16,226.0,2630.0,57,92,620,2603,8724,26299,282809,Chimpanzee
17,1180.0,787.0,0,90,0,281,2647,10049,207835,Chimpanzee
18,125.0,2295.0,29,6,1854,1317,5245,24760,266385,Chimpanzee
19,336.0,3523.0,28,1000,290,6503,20794,298192,553934,Chimpanzee
20,79.0,4253.0,0,58,5466,1521,7638,80011,355113,Chimpanzee
21,135.0,2415.0,0,55,2612,2248,10413,105921,276786,Chimpanzee
22,436.0,991.0,0,7,1325,1190,5878,17975,392953,Chimpanzee
23,182.0,3304.0,13,15,642,792,3204,16890,238181,Chimpanzee
25,97.0,1173.0,3640,16,2,45,2285,9112,88314,Chimpanzee
26,97.0,1192.0,0,30,3,36,2213,8796,87657,Chimpanzee
27,9013.0,0.0,3413,1405,4,95,1712,5053,0,Human
28,3003.0,0.0,1615,18,0,59,997,6196,0,Human
29,6139.0,0.0,0,410,3,20,1345,0,0,Human
30,2302.0,0.0,13368,269,0,62,1405,8015,0,Human
31,25345.0,0.0,21481,700,0,145,2283,9478,0,Human
32,32500.0,179.0,196,5,0,46,989,0,0,Human
33,10262.0,0.0,2398,66,0,145,922,4789,0,Human
34,2027.0,0.0,23,33185,0,217,1437,0,0,Human
35,1442.0,0.0,63847,320,0,3,1173,0,0,Human
36,20045.0,0.0,2967,3,0,34,1042,0,0,Human
37,13083.0,0.0,3480,21,0,25,1381,0,0,Human
38,4641.0,0.0,4768,121,0,30,1405,0,0,Human
39,2815.0,0.0,1239,34,0,17,838,4864,0,Human
40,2650.0,0.0,5910,222,0,14,856,0,0,Human
41,463383.0,693.0,747,3866,2,235,4205,0,0,Human
42,11257.0,324.0,813,276,0,32,1180,5667,0,Human
43,12949.0,374.0,793,123,12,104,1444,7896,0,Human
44,5522.0,0.0,575,41,0,58,910,4965,0,Human
45,5518.0,0.0,193,48,0,17,1046,0,0,Human
46,41809.0,170.0,0,14,0,42,1073,0,0,Human
47,43442.0,185.0,252,23,0,73,1887,7665,0,Human
48,975.0,0.0,2270,35,0,34,459,0,0,Human
49,12711.0,0.0,1236,2,0,21,930,0,0,Human
50,7132.0,0.0,590,15,0,17,849,0,0,Human
51,18858.0,0.0,0,4,0,23,1015,0,0,Human
52,12700.0,0.0,2708,95,0,30,897,0,0,Human
53,3349.0,0.0,1016,3047,0,21,963,5699,0,Human
54,3227.0,149.0,230,943,30,19,1454,4522,0,Human
55,68216.0,205.0,41275,6,0,80,1376,7442,0,Human
56,2881.0,0.0,2092,169,1,14,1224,6139,0,Human
57,22757.0,157.0,606,74,0,256,2098,0,0,Human
58,962.0,0.0,22049,5,0,68,482,0,0,Human
59,24478.0,121.0,3546,24,0,36,1438,6307,0,Human
60,28758.0,0.0,10245,1572,0,82,1033,0,0,Human
61,2763.0,0.0,1384,12,1,33,1154,0,0,Human
62,6634.0,0.0,0,47,0,16,1388,0,0,Human
63,3589.0,0.0,3345,6,2,27,817,5433,0,Human
64,1963.0,0.0,1332,17,0,52,727,0,0,Human
65,9490.0,0.0,0,20,0,0,705,0,0,Human
66,2512.0,0.0,3095,18,0,28,1074,0,0,Human
67,6915.0,147.0,670,1,0,18,901,4985,0,Human
68,2319.0,0.0,437,12,0,103,1329,0,0,Human
